Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cyprus,CYP,14388.35254,14821.44922,16093.21582,20252.24609,23792.61914,24959.26172,26729.28125,31244.87891,35397.29688,32236.44922,31105.02734,32485.79883,28991.93555,27764.73047,26993.10352,23088.44141,24280.05664,26247.44922,29120.375,29227.17383,28130.3418,32937.83984,33231.04297,36623.69141
Czechia,CZE,6062.921528,6669.074948,8101.260186,9852.456779,11782.55467,13442.49163,15259.07882,18452.65328,22774.70451,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31761.59441
Democratic Republic of the Congo,COD,377.9254215,142.6781426,162.3805291,161.4915535,180.664765,214.5397405,255.4452296,294.1016151,352.9003634,280.178991,352.4003988,372.5142739,409.9314248,460.3703349,489.1759521,495.826633,459.7650366,431.0525591,518.1696269,504.0041914,486.4255727,595.7430744,687.7385876,660.2120524
Denmark,DNK,30722.02518,30768.47755,33257.16226,40519.09749,46625.0501,48925.80767,52119.1788,58631.65664,64616.66576,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69340.73349,67781.09409,68043.5467
Djibouti,DJI,737.6121836,742.1337911,743.0132704,764.6344652,806.2616529,844.4483574,898.4646281,969.5732202,1119.152333,1150.937586,1213.233526,1306.345528,1400.193579,2075.944984,2214.620841,2376.125547,2510.430008,2618.955211,2718.083388,2837.169023,2844.888106,3025.911264,3133.257798,3381.297797
Dominica,DMA,4867.398963,5527.515273,5488.02785,5447.440115,5778.833065,5695.224424,6055.781096,6459.035037,6971.326338,7487.490104,7549.619647,7705.407172,7528.51002,7822.217972,8131.748761,8282.598747,8802.56172,8224.648966,9215.308541,9491.14996,7827.748427,8376.404141,9323.660895,9912.962128
Dominican Republic,DOM,2831.458836,2935.893673,3065.603295,2383.261718,2451.691616,3878.312067,4055.142703,4649.645589,5023.585134,4973.95187,5478.624704,5826.510141,6013.81965,6136.594293,6496.45167,6800.953094,7160.44201,7412.715716,7882.982216,8183.016236,7135.222733,8527.075486,10104.24493,10630.43174
Ecuador,ECU,1382.234218,1791.303597,2059.158554,2315.622152,2586.209147,2909.02606,3243.670104,3478.924888,4194.757507,4053.363311,4520.30959,5153.691642,5634.083932,6109.290315,6405.799793,5976.159681,5917.637713,6233.322448,6303.918867,6205.057652,5463.645153,6061.323502,6515.585284,6737.847484
Egypt,EGY,1366.092744,1295.137418,1116.828846,1031.275563,991.2556891,1105.539207,1298.979002,1547.741707,1896.215943,2161.639646,2455.081946,2590.643849,2996.067707,3025.525636,3133.391023,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381,3827.354154,4233.307837,3456.789685
El Salvador,SLV,1982.870935,2058.044591,2115.411874,2207.830895,2285.689074,2447.391408,2665.618072,2830.656938,2983.248296,2910.186518,3040.07301,3330.600495,3497.912569,3582.26694,3666.012489,3790.340891,3901.34015,4020.126714,4183.54621,4320.116715,3997.192796,4642.607431,5074.602102,5365.444914
Equatorial Guinea,GNQ,1487.316551,1948.611459,2264.210656,2930.601837,4901.301274,8673.902609,10184.88412,12616.95329,18210.5553,13232.50194,13720.16587,17198.21367,17308.57239,16304.07132,15548.66247,9068.910032,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029,6945.630698,7589.299649,6677.793435
Eritrea,ERI,314.3573968,325.4091615,304.7757565,348.9503271,426.8409479,412.7530792,447.9974047,480.4476237,490.066956,642.9257229,539.6995121,688.6816596,,,,,,,,,,,,
Estonia,EST,4070.609024,4502.66615,5343.183108,7205.407033,8916.072827,10414.63812,12641.4801,16745.4308,18205.90641,14712.44942,14663.7041,17555.54552,17568.2138,19310.38749,20581.7899,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27951.16593,28340.38265,30264.00649
Eswatini,SWZ,1629.670388,1429.856304,1315.736346,2015.217431,2525.564045,2871.068774,2964.958652,3109.110976,2946.860661,3189.7968,3922.740394,4225.060494,4224.547892,3949.9431,3771.072284,3419.822766,3238.17612,3853.099566,3972.654506,3913.145775,3466.569363,3984.002292,3894.162009,3755.521112
Ethiopia,ETH,122.2692026,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,368.5747123,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,597.9121132,641.6515233,696.3484291,739.7020223,793.4732472,829.7909825,893.0098354,982.1031615,1055.810916
Fiji,FJI,1995.720712,1944.997415,2136.567941,2655.580796,3097.190967,3377.69127,3455.105999,3762.746928,3899.922315,3164.132754,3449.144529,4139.602886,4341.403387,4572.443775,5293.356767,5097.531069,5363.790267,5826.848145,6085.419795,5842.073446,4620.645724,4536.733121,5414.120921,5926.205864
Finland,FIN,24335.92251,24965.203,26989.38926,32920.08572,37768.13342,39049.87038,41214.01878,48473.02401,53769.47262,47478.34953,46506.2919,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50440.56022,52834.29168
France,FRA,22340.59395,22331.79483,24144.5727,29479.52221,33644.92822,34696.37183,36431.56589,41486.19078,45464.81814,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,40988.63964,44700.13842
Gabon,GAB,3982.906201,3835.757183,3966.480019,4710.748628,5465.791936,6547.87614,6847.009857,8003.542897,9688.645197,7290.575261,8356.74662,10219.11393,9296.965879,9197.701063,9201.362766,7047.126546,6677.070039,6921.733731,7624.277523,7441.178647,6605.803461,8181.409141,8409.207415,7802.824333
Gambia,GMB,538.0540723,459.8030684,376.531027,308.7191234,593.2853463,616.4836579,614.5443079,724.7264072,859.1276714,774.8880309,801.0333727,710.6084115,692.5793616,653.8627133,568.0045356,619.5363643,650.0565013,642.5226413,696.219807,738.186752,720.3351434,781.8909252,836.2448759,883.0241117
Georgia,GEO,749.908535,801.9838371,853.5261719,1010.031516,1305.047486,1642.783594,1996.020133,2635.366503,3324.753721,2822.689397,3281.729309,4119.668183,4530.695334,4712.002294,4830.334862,4086.622347,4143.401257,4418.752065,4804.054604,4741.283272,4300.857013,5083.606955,6729.846599,8283.669607
