IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,543,Oceania excluding Australia and New Zealand,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,17.1,,,9.6,,28.7,17.1 [9.6-28.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,5,South America,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2.2,,,1.5,,3.3,2.2 [1.5-3.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,419,Latin America and the Caribbean,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2.8,,,2.1,,3.7,2.8 [2.1-3.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,62,Central Asia and Southern Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,22.5,,,16.2,,30.3,22.5 [16.2-30.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,34,Southern Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,23.6,,,17,,31.6,23.6 [17.0-31.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,29,Caribbean,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,3,,,1.7,,5.3,3.0 [1.7-5.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,13,Central America,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,3.9,,,2.5,,6,3.9 [2.5-6.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,15,Northern Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.2,,,1.7,,9.9,4.2 [1.7-9.9],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,747,Western Asia and Northern Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.4,,,1.9,,9.9,4.4 [1.9-9.9],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,145,Western Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.6,,,1.3,,15.5,4.6 [1.3-15.5],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,722,Small Island Developing States (SIDS),Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,5.7,,,3.1,,10.2,5.7 [3.1-10.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,753,Eastern Asia and South-eastern Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,6.5,,,5.3,,8.1,6.5 [5.3-8.1],,,EN,2025-05-08T18:30:00.000Z
